"","V1","V2","V3","V4","V5"
"151507 2000 500 5 1",0.380592792881397,0.337669594307571,0.337278978634598,0.336301336407357,0.336242365287244
"151507 2000 500 5 2",0.320681877644767,0.316921309098668,0.327933209648749,0.327418566499823,0.329253419644301
"151507 2000 500 5 3",0.370724604163485,0.374074707342744,0.385547795433349,0.350430938075498,0.352703324382879
"151507 2000 500 5 4",0.367470998921003,0.369184023093229,0.370005044142672,0.348093120989386,0.351148949717796
"151507 2000 500 7 1",0.4292547888962,0.434805105781397,0.322234639793293,0.43424156644559,0.436763399834737
"151507 2000 500 7 2",0.453097521929291,0.457412682613684,0.34572095360714,0.445677662333794,0.457962554212233
"151507 2000 500 7 3",0.452485908476263,0.44708225693743,0.316296469602175,0.444722373078138,0.44348939593008
"151507 2000 500 7 4",0.383426959870927,0.453214531351487,0.304204140882714,0.38739452842043,0.450919412190499
"151507 2000 500 10 1",0.417166625595637,0.350799712128585,0.349212921859931,0.353898525728773,0.363980698652649
"151507 2000 500 10 2",0.439296471295504,0.361590092026233,0.338669584138323,0.338692913178718,0.39938114901215
"151507 2000 500 10 3",0.452102877518004,0.331735194641174,0.327625661563236,0.330168392390065,0.408755100375774
"151507 2000 500 10 4",0.455261328593225,0.333401471464594,0.333453320764502,0.335051029427787,0.40258498412124
"151507 2000 500 15 1",0.423712713765611,0.392993805281946,0.470563733864737,0.422749906593637,0.393711029451772
"151507 2000 500 15 2",0.440346113145887,0.449125491163816,0.396139256936696,0.439933046276875,0.412219620414037
"151507 2000 500 15 3",0.332623264472501,0.465768500033983,0.405210331298504,0.332377918591002,0.405150022969822
"151507 2000 500 15 4",0.340781946232042,0.470878545374685,0.389002965935662,0.333075915329276,0.389892235097008
"151507 2000 500 20 1",0.423712713765611,0.392993805281946,0.470563733864737,0.422749906593637,0.393711029451772
"151507 2000 500 20 2",0.440346113145887,0.449125491163816,0.396139256936696,0.439933046276875,0.412219620414037
"151507 2000 500 20 3",0.332623264472501,0.465768500033983,0.405210331298504,0.332377918591002,0.405150022969822
"151507 2000 500 20 4",0.340781946232042,0.470878545374685,0.389002965935662,0.333075915329276,0.389892235097008
"151507 2000 500 25 1",0.423712713765611,0.392993805281946,0.470563733864737,0.422749906593637,0.393711029451772
"151507 2000 500 25 2",0.440346113145887,0.449125491163816,0.396139256936696,0.439933046276875,0.412219620414037
"151507 2000 500 25 3",0.332623264472501,0.465768500033983,0.405210331298504,0.332377918591002,0.405150022969822
"151507 2000 500 25 4",0.340781946232042,0.470878545374685,0.389002965935662,0.333075915329276,0.389892235097008
"151507 2000 500 30 1",0.423712713765611,0.392993805281946,0.470563733864737,0.422749906593637,0.393711029451772
"151507 2000 500 30 2",0.440346113145887,0.449125491163816,0.396139256936696,0.439933046276875,0.412219620414037
"151507 2000 500 30 3",0.332623264472501,0.465768500033983,0.405210331298504,0.332377918591002,0.405150022969822
