,load_data,preprocess,scvi,aggregate_neighbors,cluster,n_samples
1,1.823482036590576,1.2899625301361084,678.3174233436584,0.2377843856811523,0.8361718654632568,2
3,1.7763280868530271,1.3828518390655518,512.7393610477448,0.2426073551177978,0.6680676937103271,2
4,1.7631826400756836,1.3191819190979004,578.6977512836456,0.2544553279876709,0.9555087089538574,2
2,1.7642648220062256,1.3771255016326904,581.8377311229706,0.2482666969299316,0.9731061458587646,2
0,1.8533732891082764,1.4728384017944336,647.5014033317566,0.3177328109741211,0.8398177623748779,2
0,2.555203914642334,2.0974721908569336,825.6145248413086,0.3463208675384521,1.271980047225952,3
1,2.8841984272003174,2.196993112564087,710.7893874645233,0.3359973430633545,1.5683281421661377,3
4,2.7487950325012207,1.9164273738861084,729.7334842681885,0.3214452266693115,0.8754866123199463,3
2,2.747178316116333,1.9246230125427248,810.5537168979645,0.3416500091552734,1.1122491359710691,3
3,2.784120321273804,1.9420573711395264,829.1964952945709,0.3423547744750976,1.0215308666229248,3
0,1.386723279953003,2.674070119857788,1058.6090788841248,0.4900763034820556,0.9603848457336426,4
1,3.943230867385864,2.8317344188690186,1250.8933975696564,0.5439069271087646,1.4261631965637207,4
3,3.793690919876098,2.433980703353882,1010.1529486179352,0.4742584228515625,2.337110757827759,4
2,3.7888569831848153,2.494616746902466,1241.1269731521606,0.5079572200775146,1.0084030628204346,4
4,3.7884562015533447,2.4759955406188965,1244.2714953422546,0.4613754749298095,1.1348273754119873,4
0,4.406215667724609,3.1882009506225586,1372.0208866596222,0.5748732089996338,1.569770336151123,5
1,6.003477334976196,3.388470411300659,1473.6757519245148,0.6189398765563965,1.9010071754455569,5
3,4.578045129776001,3.0171360969543457,1635.9251761436462,0.5634939670562744,1.1306040287017822,5
2,4.57488751411438,2.934133529663086,1716.6649289131165,0.5362546443939209,1.1683058738708496,5
4,4.623193502426148,3.057625293731689,1794.9196224212646,0.6599605083465576,2.173656940460205,5
0,4.039804935455322,3.593603134155273,1508.417119264603,0.7137236595153809,1.478593349456787,6
1,5.401421785354614,3.821167945861816,1349.5804705619812,0.7144510746002197,1.621690034866333,6
2,5.14395809173584,3.5339300632476807,1383.910306930542,0.7164402008056641,1.5564632415771484,6
3,5.146882772445679,3.467454195022583,1835.164524316788,0.6526548862457275,1.0937833786010742,6
4,5.146284103393555,3.4152395725250244,1965.8112215995789,0.6854321956634521,1.2122039794921875,6
0,5.446996688842773,4.262552261352539,2149.122362852097,0.7653594017028809,1.5135765075683594,7
1,5.677769422531128,4.370342254638672,2387.40038061142,0.9346873760223388,1.774944305419922,7
4,5.494894742965698,3.958430528640747,2058.08669757843,0.7699205875396729,1.462986946105957,7
3,5.508587121963501,4.058013916015625,2432.4071049690247,0.7599210739135742,1.6526458263397217,7
2,5.499748945236206,4.062259197235107,2840.51829123497,0.7588212490081787,1.4666669368743896,7
0,5.866140127182007,4.81292462348938,2735.875951051712,1.0136573314666748,2.3541104793548584,8
1,5.8364574909210205,5.280972003936768,2866.179363489151,1.0444207191467283,1.6428427696228027,8
3,5.811995267868042,4.625745534896851,2410.9874143600464,0.9758813381195068,1.4180903434753418,8
4,5.814881086349487,4.683114528656006,2770.045573711396,0.8725061416625977,1.5483641624450684,8
2,5.807999610900879,4.646416902542114,2820.744703054428,0.8826336860656738,1.4918768405914309,8
0,7.041045904159546,5.3376548290252686,2543.3953993320465,1.012434720993042,1.217949151992798,9
1,6.289936542510986,5.765204191207886,2746.0999989509583,1.1194443702697754,1.51275372505188,9
2,6.107190608978272,5.222073554992676,2840.4585750103,0.994847297668457,1.5279223918914795,9
4,6.101907968521118,5.173428058624268,2840.676548719406,0.9799027442932128,2.0568830966949463,9
3,6.107413291931152,5.151366710662842,2904.4879570007324,0.9912469387054444,1.8434085845947263,9
0,5.993495225906372,5.960446834564209,2587.5189592838287,1.1169893741607666,2.29922103881836,10
1,6.169949769973755,5.8915114402771,2775.222828865052,1.2659194469451904,2.52937650680542,10
2,6.421215534210205,5.781453371047974,2765.464929103852,1.16762113571167,1.5800073146820068,10
3,6.450575590133667,5.696098566055298,2881.6000044345856,1.0964417457580566,2.17517352104187,10
4,6.405741930007935,5.710109233856201,2903.060310125351,1.0821843147277832,2.3723998069763184,10
0,6.400606632232666,6.493962049484253,2565.768797159195,1.3164594173431396,2.931248188018799,11
1,6.317636728286743,7.21142578125,2693.0665125846863,1.234644651412964,1.4991300106048584,11
4,6.664320945739746,6.137935161590576,2696.312614440918,1.2041935920715332,1.285444259643555,11
3,6.681670427322388,6.373659610748291,2704.3807730674744,1.3556513786315918,3.8348548412323,11
2,6.687936067581177,6.313974857330322,2842.127093076706,1.2363629341125488,1.8130183219909668,11
0,7.153197288513184,7.206852436065674,2587.0546860694885,1.359177589416504,2.639292001724243,12
4,6.979451656341553,7.785340070724487,2449.3011288642883,1.4003558158874512,2.624311208724976,12
3,6.951603889465332,6.8677942752838135,2746.105258703232,1.3426017761230469,2.9231276512146,12
1,2.789270639419556,6.798932075500488,2844.882493019104,1.3561582565307615,3.177865028381348,12
2,6.952897548675537,7.189058303833008,2929.913007736206,1.341256856918335,1.495500564575195,12
