,load_data,preprocess,scvi,spatial_embedding,cluster,n_samples
0,0.6383488178253174,1.6709492206573486,370.86734199523926,618.1125316619873,11.283711671829224,2
1,0.3914635181427002,1.9150562286376955,338.38211584091187,717.7857797145844,10.545706033706663,2
2,0.5694272518157959,2.4994137287139893,338.08271503448486,830.944091796875,11.13606595993042,2
3,0.7047560214996338,1.5533745288848877,447.081591129303,676.1778471469879,9.015982389450071,2
4,0.67018723487854,1.581448316574097,437.7528898715973,765.2259211540222,11.828540563583374,2
0,3.202664852142334,3.317687511444092,528.302531003952,930.9451155662535,15.439286947250366,3
1,0.8955919742584229,2.4120004177093506,677.3759880065918,1063.0322098731997,17.48244333267212,3
2,0.8764746189117432,2.9341742992401123,1597.8425452709198,1099.881314754486,13.032743692398071,3
4,1.7290096282958984,2.173823356628418,482.7847533226013,1056.2805416584015,15.408106088638306,3
3,1.7616114616394043,2.4186487197875977,625.9123260974884,1084.864802122116,21.967039346694943,3
0,5.441475868225098,5.185627698898315,2218.638827562332,1287.700650930405,20.639148950576782,4
1,1.064983367919922,2.719731092453003,2180.140315771103,1489.2694556713104,19.90280652046204,4
2,1.0577635765075684,2.9980545043945312,2201.667576789856,1579.531715631485,14.432875633239746,4
3,2.612318515777588,2.696588516235352,2208.635678768158,1473.5994935035706,18.53042793273925,4
4,2.609900951385498,2.7355551719665527,2252.5011944770813,1433.000233888626,22.80342173576355,4
0,3.627400159835816,4.640108585357666,2492.8240110874176,1547.7698216438291,28.511223077774048,5
1,1.2626230716705322,3.183295965194702,2741.4678134918213,2074.8011763095856,16.920990228652954,5
2,1.2570457458496094,3.204728126525879,2877.828770160675,2050.8330261707306,14.363844633102415,5
4,3.482672929763794,3.307851076126098,2650.3373024463654,1719.0833072662354,19.26928997039795,5
3,3.46513032913208,3.2361676692962646,2792.055482149124,1897.8287143707275,17.285066843032837,5
0,7.520548820495605,6.81446647644043,2529.906039237976,1804.583992242813,27.45643281936645,6
1,1.472663402557373,3.6740472316741934,2636.163865804672,2378.4347116947174,19.793689250946045,6
2,1.4693846702575684,3.750272750854492,2761.92621922493,2350.6996626853943,15.679297924041748,6
4,4.122464179992676,4.09980583190918,2472.3958792686462,1785.0246558189392,27.1679756641388,6
3,4.088610887527466,3.75311541557312,2741.1323137283325,2280.117431640625,17.03467345237732,6
0,4.727245807647705,5.183284282684326,2453.369841337204,2110.779662132263,19.58295035362244,7
1,1.6595966815948486,4.623804807662964,2565.9411420822144,2408.099651098252,19.34066081047058,7
2,1.662822723388672,5.0605175495147705,2897.6848981380463,2760.87064409256,20.143796920776367,7
4,4.644697427749634,4.598235130310059,2496.6101582050323,2302.365825653076,41.74988484382629,7
3,4.626045227050781,4.3384387493133545,2548.776655197144,2511.776359558105,39.53561878204346,7
0,4.897274971008301,6.413259983062744,2482.9390597343445,2513.481466531753,23.102671146392822,8
1,1.8274569511413568,4.815095901489258,2587.618364095688,2633.72909116745,29.81803154945373,8
2,2.6885056495666504,5.771755695343018,3497.381109237671,4269.709240436554,22.50314283370972,8
4,5.130296468734741,5.021693706512451,2729.3900094032288,3087.2308502197266,30.648863315582275,8
3,5.115185260772705,5.102609872817993,2711.1947298049927,3140.197809696197,32.29413986206055,8
0,5.278286695480347,6.555171012878418,2434.948656797409,2678.780907392502,19.60201835632324,9
1,2.246742248535156,6.149968147277832,2663.2597601413727,3687.350479841232,28.752175331115723,9
2,3.8094754219055176,6.555364370346069,2941.490049600601,3474.075010538101,22.58270478248596,9
4,5.491624355316162,5.361202239990234,2658.132011175156,3352.94702410698,34.381139516830444,9
3,5.471995115280151,5.350235223770142,2769.2404701709747,3681.160285711289,28.19848942756653,9
0,5.284307956695557,7.160294055938721,2507.2179856300354,3053.113808870316,31.376039266586304,10
1,2.4144794940948486,6.175116539001465,2685.2352316379547,4047.0063865184784,23.49238896369934,10
2,4.799221754074097,6.982635259628296,2844.571959257126,3227.31225848198,26.94992661476136,10
4,5.716860771179199,5.8495142459869385,2704.6940636634827,3704.088068008423,22.41704797744751,10
3,5.702559947967529,6.004814147949219,2762.169245481491,4100.979750394821,40.88483691215515,10
0,5.626811981201172,7.558246612548828,2487.378748655319,3408.925029277801,20.01987600326538,11
1,2.3699796199798584,6.86654257774353,2554.0825452804565,4426.53897023201,43.99003481864929,11
2,5.635069847106934,7.100145101547241,2840.5730426311493,4270.5540163517,47.192729473114014,11
4,5.957400321960449,6.668750524520874,2548.996708393097,3656.650241851807,30.537760734558105,11
3,5.927078008651733,6.672904968261719,2795.813367843628,4418.858455181122,24.830247163772583,11
0,9.580219030380247,7.259632110595703,2411.847383737564,3833.704513072968,29.9461989402771,12
1,2.591698169708252,7.349358320236206,2542.4295394420624,4735.240211963654,37.35783672332764,12
2,6.009337902069092,7.8218629360198975,2728.276130914688,4458.049981594086,29.497390508651733,12
4,6.208670616149902,7.3466477394104,2548.150405883789,3915.278955698013,29.67167568206787,12
3,6.166645288467407,7.083422899246216,2633.045513153076,4497.801930427551,34.618821144104004,12
