,load_data,preprocess,scvi,spatial_embedding,cluster,n_samples
0,0.6506669521331787,1.5718188285827637,97.4731228351593,12.825337409973145,12.428647756576538,2
1,0.6100456714630127,1.5081477165222168,86.97357392311096,12.743080854415894,10.590251684188845,2
2,1.608494997024536,2.133802890777588,103.73283553123474,12.941949605941772,17.844712018966675,2
3,0.4102141857147217,1.535409688949585,79.1493558883667,12.85108470916748,8.505359411239624,2
4,0.9752025604248048,1.5114505290985107,92.30954551696776,12.876575231552124,13.46623420715332,2
0,0.8531277179718018,2.105497360229492,117.86872553825378,17.817812204360962,12.600113153457642,3
1,0.6858723163604736,2.3771274089813232,108.07476592063904,17.9430570602417,12.528735399246216,3
2,2.541172981262207,2.3227360248565674,133.2365334033966,17.907575607299805,21.972684144973755,3
3,0.6013786792755127,2.1076138019561768,123.52996683120728,17.790128469467163,17.309974431991577,3
4,0.7725975513458252,2.4303970336914062,101.16365885734558,18.001575708389282,11.458375692367554,3
0,0.9805195331573486,2.942225456237793,228.60313415527344,23.74449253082276,26.074753761291504,4
1,0.8450651168823242,2.66359543800354,204.2959861755371,23.58263087272644,23.53676676750183,4
2,3.3348701000213623,2.693908214569092,234.8469221591949,23.706153869628903,16.58881378173828,4
3,0.8412618637084961,3.050529956817627,235.4038732051849,23.749266624450684,21.387797832489014,4
4,0.9107894897460938,2.71789288520813,247.5040957927704,23.71838641166687,12.98353385925293,4
0,1.1097691059112549,3.1707422733306885,259.0197196006775,28.02579402923584,13.79940104484558,5
1,1.0062730312347412,3.339437484741211,217.9603726863861,28.36028623580933,16.956870079040527,5
2,1.114920139312744,3.315924644470215,301.98255610466003,28.427900791168213,22.08033275604248,5
3,0.9997739791870116,3.174849271774292,277.8752808570862,28.187952995300293,45.99150109291077,5
4,0.933286428451538,3.3060359954833984,264.3317301273346,28.41496729850769,12.422426462173462,5
0,1.1851227283477783,3.976844310760498,359.1284956932068,32.78238248825073,29.74058246612549,6
1,1.0614781379699707,3.8277125358581534,400.010870218277,32.541303873062134,23.319970846176147,6
2,1.052917718887329,3.905242443084717,401.32679867744446,32.56621861457825,20.804548740386963,6
3,1.221363544464111,3.970143795013428,495.6137707233429,32.792250871658325,27.62252855300904,6
4,1.1920228004455566,3.782643795013428,370.518703699112,32.65640902519226,26.102086782455444,6
0,1.3323848247528076,4.299499988555908,491.5699665546417,38.59559464454651,12.715438842773438,7
1,1.2377405166625977,4.497849941253662,485.0730755329132,38.29263257980347,28.592679977416992,7
2,1.2451395988464355,4.396899938583374,486.71123814582825,38.41748046875,21.762264490127563,7
3,1.3853979110717771,4.296339988708496,483.1632466316223,38.69249773025513,24.58340215682984,7
4,1.216005802154541,4.475682020187378,486.4829819202423,38.45080924034119,30.83144879341125,7
0,1.6408987045288086,5.115188121795654,500.0181229114533,43.84217405319214,24.13986349105835,8
1,1.5359444618225098,5.110584497451782,495.1933479309082,43.34209322929382,40.32857036590576,8
2,1.5463910102844238,5.083450078964233,494.96734380722046,43.475396394729614,29.10168170928955,8
3,1.7050540447235107,5.145060300827026,498.9523267745972,44.19966173171997,35.389859199523926,8
4,1.5274949073791504,5.1394782066345215,491.8610122203827,43.69877743721008,24.35815525054932,8
0,6.738720655441284,6.13303279876709,495.2340476512909,48.033788442611694,25.39017939567566,9
0,1.806795597076416,5.46432089805603,483.6999886035919,47.84868884086609,23.345165967941284,9
1,1.6665432453155518,5.792419195175171,493.0984308719635,47.90754580497742,31.501012325286865,9
2,1.6563923358917236,5.583281517028809,488.373081445694,48.19820857048035,26.2935848236084,9
3,1.8288207054138184,5.371258974075317,481.4559512138367,48.07512378692627,22.4315025806427,9
4,1.9020440578460691,5.659181356430054,493.357296705246,48.17984771728516,24.31208300590515,9
0,2.555985689163208,5.976712226867676,481.53979659080505,53.2626416683197,30.980502367019653,10
1,1.5554423332214355,6.037957191467285,473.3220567703247,52.99836087226868,58.5292489528656,10
2,1.4903883934020996,6.092587947845459,479.445967912674,52.95563340187073,19.105748176574707,10
3,2.0897552967071533,6.2295427322387695,492.2303168773651,53.55176639556885,22.628408908844,10
4,1.7826380729675293,6.008265256881714,476.3944802284241,53.365599632263184,43.201844453811646,10
0,3.378146409988404,6.497385501861572,486.54620385169983,58.34021663665772,44.74235653877258,11
1,1.61503005027771,6.47507643699646,480.08102774620056,57.81273913383484,26.95545625686645,11
2,1.6436820030212402,6.431634187698364,478.6812973022461,57.941991090774536,21.661892890930176,11
3,2.221187353134156,6.374875545501709,478.2090413570404,58.27669262886048,49.56721258163452,11
4,1.658038854598999,6.731842517852783,475.1359360218048,58.07116746902466,36.78397393226624,11
0,4.457916021347046,7.678274869918823,490.4500238895416,62.80334138870239,23.804989099502563,12
1,2.175595760345459,7.275418281555176,477.3519551753998,62.470733642578125,21.85954642295837,12
2,2.4078128337860107,7.300301551818848,473.0697145462036,62.71747970581055,35.18075656890869,12
3,2.328965902328491,7.2791221141815186,482.4650022983551,63.37781882286072,44.84837484359741,12
4,2.7167909145355225,7.611604452133179,482.1299061775208,62.58079648017883,43.23110556602478,12
